,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
39,0.16666666666666666,19,250,1000,6,True,0.5478672249817313,4,4,[1.23847429 3.92423172] [3.9553367  1.25780769] [4.24494247 4.25155028] [0.96362011 0.94074846],[0.00107631 0.30199041 0.28207051 0.19688526 0.00106445 0.21691305],[[1.66753859 0.4339183 ]  [0.4339183  1.5205869 ]] [[1.5392099  0.45186665]  [0.45186665 1.55937544]] [[1.29184736 0.43747346]  [0.43747346 1.2902661 ]] [[1.43312436 0.47227382]  [0.47227382 1.3362611 ]],6,"{0: 0, 1: 296, 2: 285, 3: 198, 4: 0, 5: 221}",2,1,1
40,1.0,0,250,1000,6,True,0.5348334603248921,4,4,[3.90215266 1.05206706] [4.02217689 4.06778222] [0.94224162 0.83301725] [1.01130887 3.84836985],[0.24711463 0.28667609 0.00107087 0.18451643 0.00106427 0.2795577 ],[[1.66985038 0.33660726]  [0.33660726 1.36294525]] [[1.74174523 0.50992985]  [0.50992985 1.76787048]] [[1.49311519 0.43438327]  [0.43438327 1.06478898]] [[1.36093298 0.36725715]  [0.36725715 1.74078258]],6,"{0: 244, 1: 278, 2: 0, 3: 192, 4: 0, 5: 286}",2,1,1
41,1.0,1,250,1000,6,True,0.6376029243741538,4,4,[1.07387518 1.04904126] [4.0048861  1.22425495] [1.1112515  4.00769912] [4.08449673 4.22853972],[2.26984014e-01 2.95734699e-01 2.71946175e-01 2.04565798e-01 5.14756116e-04 2.54557401e-04],[[1.09079204 0.58575169]  [0.58575169 1.33181821]] [[1.24707464 0.5676662 ]  [0.5676662  1.66571095]] [[1.26170825 0.60638161]  [0.60638161 1.70231669]] [[1.13782889 0.529232  ]  [0.529232   1.05309704]],4,"{0: 230, 1: 290, 2: 264, 3: 216, 4: 0, 5: 0}",2,1,1
42,1.0,2,250,1000,6,True,0.4689429885467177,5,5,[0.64833514 2.63724848] [3.9084049  3.75635668] [1.03524313 3.88595727] [3.80871817 0.70272046] [0.70238717 0.4012668 ],[0.08137564 0.32413534 0.19368506 0.24909874 0.15119429 0.00051093],[[ 1.57251802e+00 -1.55376415e-03]  [-1.55376415e-03  5.05668680e-01]] [[1.77112703 0.32673234]  [0.32673234 1.59881274]] [[1.11391114 0.13584093]  [0.13584093 1.81362754]] [[1.91286967 0.46085468]  [0.46085468 1.12271777]] [[1.26030959 0.41749168]  [0.41749168 0.93264425]],5,"{0: 68, 1: 322, 2: 190, 3: 252, 4: 168, 5: 0}",2,1,1
43,1.0,3,250,1000,6,True,0.5274381597941868,4,4,[3.66291741 4.10768675] [0.47459043 0.8908017 ] [3.50655779 1.16283949] [0.74906754 3.94710448],[2.65503082e-01 1.60826130e-01 3.40735748e-01 2.32164775e-01 5.15413719e-04 2.54850230e-04],[[1.90785224 0.68894959]  [0.68894959 1.4163212 ]] [[1.08623502 0.56606783]  [0.56606783 1.33158729]] [[2.1073465  0.63688199]  [0.63688199 1.70992664]] [[1.36197931 0.57925603]  [0.57925603 1.70403859]],4,"{0: 268, 1: 167, 2: 330, 3: 235, 4: 0, 5: 0}",2,1,1
44,1.0,4,250,1000,6,True,0.5450489611039451,5,5,[0.89942294 0.9916272 ] [4.02092977 4.08857864] [0.27438642 2.70751838] [3.87029234 0.97625751] [1.06963216 4.11730262],[0.23751601 0.25578071 0.00107108 0.05059908 0.26525883 0.1897743 ],[[1.47861441 0.63017229]  [0.63017229 1.66709265]] [[1.46180089 0.51992693]  [0.51992693 1.58406448]] [[ 2.07138364 -0.10996648]  [-0.10996648  1.15472801]] [[1.69635716 0.5961759 ]  [0.5961759  1.55983533]] [[0.85397626 0.33322616]  [0.33322616 1.49273289]],6,"{0: 260, 1: 246, 2: 0, 3: 21, 4: 266, 5: 207}",2,1,1
45,1.0,5,250,1000,6,True,0.5397325689649602,4,4,[4.2279665  3.85657254] [1.271157   0.92744542] [4.22901452 0.85828908] [1.20023588 3.90719008],[0.24900309 0.29220487 0.00107239 0.17272425 0.00106443 0.28393097],[[1.10236912 0.25935462]  [0.25935462 1.74115219]] [[1.7456529  0.30506955]  [0.30506955 1.35565728]] [[0.94825076 0.23563649]  [0.23563649 1.22774285]] [[1.42464909 0.26579999]  [0.26579999 1.44918057]],6,"{0: 252, 1: 296, 2: 0, 3: 173, 4: 0, 5: 279}",2,1,1
46,1.0,6,250,1000,6,True,0.49581033879748004,4,4,[3.87433575 4.06958824] [3.79059201 1.07683614] [0.88138139 3.92244992] [0.79886103 0.96308567],[2.80101278e-01 2.75252428e-01 2.22244991e-01 2.21631658e-01 5.14995389e-04 2.54649702e-04],[[1.90528339 0.35508126]  [0.35508126 1.44883559]] [[1.95460862 0.37228586]  [0.37228586 1.36784065]] [[1.36324294 0.27044375]  [0.27044375 1.34905534]] [[1.79079999 0.44253534]  [0.44253534 1.46993552]],4,"{0: 277, 1: 273, 2: 226, 3: 224, 4: 0, 5: 0}",2,1,1
47,1.0,7,250,1000,6,True,0.6139428139977076,4,4,[4.26083179 3.97038969] [1.26687968 3.90166434] [1.14521319 0.92468261] [4.12322195 0.97723046],[0.00107457 0.24400376 0.25874046 0.23916759 0.25650077 0.00051285],[[1.39786155 0.44272291]  [0.44272291 1.32967382]] [[1.38014378 0.34911278]  [0.34911278 1.28889288]] [[1.30645071 0.38255654]  [0.38255654 1.29412983]] [[1.37328932 0.39609219]  [0.39609219 1.3421054 ]],5,"{0: 0, 1: 241, 2: 259, 3: 244, 4: 256, 5: 0}",2,1,1
48,1.0,8,250,1000,6,True,0.5011964207819687,5,5,[1.00310724 4.18405956] [3.82908155 1.1207886 ] [3.97997445 4.18276542] [0.83690122 0.696461  ] [0.86793791 2.09953034],[0.22007425 0.28413337 0.24206644 0.16850218 0.08471652 0.00050723],[[1.22188114 0.25063495]  [0.25063495 1.34983462]] [[1.63084676 0.52391952]  [0.52391952 1.7561382 ]] [[1.48313228 0.39614604]  [0.39614604 1.60857773]] [[1.33496039 0.59995659]  [0.59995659 1.51030549]] [[1.69022119 0.17958521]  [0.17958521 0.44631262]],5,"{0: 218, 1: 295, 2: 232, 3: 157, 4: 98, 5: 0}",3,1,2
49,1.0,9,250,1000,6,True,0.5118792936592137,4,4,[1.26127924 4.28327235] [3.94848059 1.51687346] [4.19643862 4.51412292] [0.92382419 1.1888581 ],[2.73474388e-01 3.35691792e-01 1.47693615e-01 2.42370462e-01 5.15062897e-04 2.54679594e-04],[[1.7900621  0.50406439]  [0.50406439 1.46444088]] [[1.58531853 0.54619812]  [0.54619812 2.20854922]] [[1.15469453 0.54400321]  [0.54400321 1.12457169]] [[1.16640846 0.36407602]  [0.36407602 1.60104177]],4,"{0: 277, 1: 323, 2: 153, 3: 247, 4: 0, 5: 0}",2,1,1
50,1.0,10,250,1000,6,True,0.449260977103254,5,5,[3.73236869 0.94212507] [0.83211654 1.34161515] [4.46690834 3.57747606] [3.53338612 4.27136787] [0.94590731 4.16922722],[0.00107546 0.27132321 0.19849963 0.17632724 0.16048058 0.19229387],[[1.96440041 0.33336405]  [0.33336405 1.18739671]] [[1.04502601 0.37228481]  [0.37228481 1.66626196]] [[1.90932093 0.77137389]  [0.77137389 1.98430926]] [[1.03414105 0.30076722]  [0.30076722 1.44872783]] [[0.995998   0.20727956]  [0.20727956 1.36880544]],6,"{0: 0, 1: 284, 2: 210, 3: 136, 4: 174, 5: 196}",4,3,1
51,1.0,11,250,1000,6,True,0.504736386671722,4,4,[4.20148767 3.44067149] [0.94424023 0.69012222] [1.21414657 3.72910762] [3.89522484 0.55611179],[0.29126078 0.22665787 0.32587641 0.00106268 0.15463371 0.00050854],[[1.22409834 0.31399545]  [0.31399545 2.33665558]] [[1.32461421 0.16566006]  [0.16566006 1.03346875]] [[1.7381034 0.216933 ]  [0.216933  1.4777316]] [[1.01173282 0.11027812]  [0.11027812 0.99348211]],5,"{0: 289, 1: 241, 2: 309, 3: 0, 4: 161, 5: 0}",2,1,1
52,1.0,12,250,1000,6,True,0.5315650629100349,4,4,[3.63668892 3.79714961] [0.63724904 1.02972137] [3.57207299 0.79263003] [0.70086636 4.03413149],[3.61646322e-01 1.97872066e-01 2.55272290e-01 1.84440673e-01 5.14317362e-04 2.54331858e-04],[[1.91100316 0.18278712]  [0.18278712 1.89419304]] [[1.03480637 0.16582638]  [0.16582638 1.22137528]] [[1.76720723 0.16079465]  [0.16079465 1.08021716]] [[1.02667741 0.09402179]  [0.09402179 1.05632746]],4,"{0: 346, 1: 207, 2: 254, 3: 193, 4: 0, 5: 0}",2,1,1
53,1.0,13,250,1000,6,True,0.4240642542942957,4,4,[1.18720014 3.65290351] [3.69976559 1.15539632] [4.34721304 4.39593368] [0.83218326 0.7769173 ],[3.56249019e-01 3.56566910e-01 1.33568947e-01 1.52848231e-01 5.13141773e-04 2.53751379e-04],[[1.98592589 0.80130667]  [0.80130667 2.18400874]] [[2.03579876 0.85043653]  [0.85043653 2.37335568]] [[1.07206073 0.57292225]  [0.57292225 1.08213454]] [[1.57253784 0.9408922 ]  [0.9408922  1.20772833]],4,"{0: 356, 1: 352, 2: 139, 3: 153, 4: 0, 5: 0}",2,1,1
54,1.0,14,250,1000,6,True,0.5082677454258684,4,4,[3.55032013 1.27519019] [0.5727588  1.18756041] [1.01543801 4.11139679] [3.97902378 4.22473614],[0.36453561 0.22223527 0.23084653 0.00106379 0.18080944 0.00050936],[[1.72581428 0.46658912]  [0.46658912 1.96711522]] [[0.96499324 0.50692349]  [0.50692349 2.00179829]] [[1.36109372 0.34883197]  [0.34883197 1.37836543]] [[1.10502934 0.37254644]  [0.37254644 1.29449404]],5,"{0: 360, 1: 218, 2: 238, 3: 0, 4: 184, 5: 0}",2,1,1
55,1.0,15,250,1000,6,True,0.5396989654411061,4,4,[0.88316391 3.7972778 ] [0.73413485 0.7944004 ] [3.69887759 0.95470467] [3.81803454 3.92563611],[0.26359995 0.00107345 0.19501003 0.2638176  0.275986   0.00051296],[[1.57318772 0.3276501 ]  [0.3276501  1.43326806]] [[1.57420891 0.29838471]  [0.29838471 1.03020664]] [[1.94736092 0.33434967]  [0.33434967 1.14753625]] [[1.81260626 0.36641521]  [0.36641521 1.39367739]],5,"{0: 263, 1: 0, 2: 201, 3: 262, 4: 274, 5: 0}",2,1,1
56,1.0,16,250,1000,6,True,0.5726783267186821,4,4,[3.90168793 1.07105765] [0.8555403  1.03071333] [4.09783626 3.95086486] [1.23415129 4.08929007],[0.27283291 0.00107358 0.21900417 0.24286222 0.00106586 0.26316126],[[1.6948752  0.48680994]  [0.48680994 1.44878067]] [[1.23181579 0.42475208]  [0.42475208 1.52058012]] [[1.55655456 0.63902893]  [0.63902893 1.59748448]] [[1.73172339 0.48256233]  [0.48256233 1.45177293]],6,"{0: 269, 1: 0, 2: 224, 3: 247, 4: 0, 5: 260}",2,1,1
57,1.0,17,250,1000,6,True,0.5066416306737143,6,5,[4.22136737 1.30860418] [1.16995349 3.7728156 ] [-0.62455597  1.36999106] [1.11151511 1.08598567] [2.01665434 0.36710687] [4.32472329 4.31560377],[0.25646368 0.34348578 0.00442051 0.1411431  0.06256713 0.19191979],[[1.26907196 0.39427555]  [0.39427555 1.63332114]] [[1.45102093 0.59462704]  [0.59462704 2.10745313]] [[7.42106269 2.64075668]  [2.64075668 2.95725852]] [[1.32406981 0.99901858]  [0.99901858 1.28821203]] [[0.68449388 0.22370901]  [0.22370901 1.29724726]] [[0.97718737 0.43069674]  [0.43069674 1.41968521]],6,"{0: 259, 1: 333, 2: 2, 3: 167, 4: 42, 5: 197}",6,1,5
58,1.0,18,250,1000,6,True,0.3604718114165298,6,6,[0.86287557 3.33127645] [1.50060373 0.62659326] [3.96457413 2.63417929] [3.75196742 4.67475633] [-0.31272905  3.09840495] [4.18608337 0.75127223],[0.2217858  0.27239793 0.16500549 0.20389965 0.0183597  0.11855143],[[ 0.71593875 -0.0393435 ]  [-0.0393435   2.26896176]] [[3.01419643 0.20933389]  [0.20933389 1.56678244]] [[ 1.76056629 -0.07937228]  [-0.07937228  0.64919905]] [[1.98022179 0.13248868]  [0.13248868 0.83369399]] [[ 3.04790009 -0.79030782]  [-0.79030782  1.07956464]] [[ 1.05441186 -0.00392566]  [-0.00392566  1.13458518]],6,"{0: 235, 1: 266, 2: 184, 3: 195, 4: 7, 5: 113}",4,2,1
59,1.0,19,250,1000,6,True,0.5460142973594958,4,4,[1.23843361 3.92444729] [3.95592971 1.25716179] [4.2448261  4.25090541] [0.96430539 0.94115746],[0.001078   0.3019395  0.28185765 0.19699342 0.00106448 0.21706696],[[1.66744846 0.43386144]  [0.43386144 1.52027129]] [[1.53854987 0.4519239 ]  [0.4519239  1.55864436]] [[1.29178764 0.43752439]  [0.43752439 1.29088468]] [[1.43376214 0.47247396]  [0.47247396 1.33651769]],6,"{0: 0, 1: 296, 2: 284, 3: 199, 4: 0, 5: 221}",2,1,1
60,10.0,0,250,1000,6,True,0.5328320300904416,4,4,[3.90238858 1.05229772] [4.02562758 4.06852469] [0.94260109 0.83236968] [1.01375241 3.84748721],[0.24708712 0.28604852 0.00107081 0.18443848 0.00106439 0.28029067],[[1.66989175 0.33674769]  [0.33674769 1.36334262]] [[1.73701271 0.50921407]  [0.50921407 1.76768983]] [[1.4937322  0.43449878]  [0.43449878 1.064104  ]] [[1.36320018 0.36720065]  [0.36720065 1.74175464]],6,"{0: 244, 1: 277, 2: 0, 3: 192, 4: 0, 5: 287}",2,1,1
61,10.0,1,250,1000,6,True,0.6451097211308471,5,4,[1.07830772 1.11472863] [4.03555106 1.23173107] [1.11887934 4.10303139] [4.07846077 4.22346894] [2.6228167  5.74191776],[0.24981638 0.28886905 0.25086154 0.20614369 0.00342507 0.00088428],[[1.14995602 0.53934807]  [0.53934807 1.39106003]] [[1.20699537 0.54823134]  [0.54823134 1.65702099]] [[1.20609945 0.50619634]  [0.50619634 1.37453697]] [[1.14667966 0.53179081]  [0.53179081 1.06405187]] [[1.98297903 0.26530056]  [0.26530056 6.87699936]],5,"{0: 248, 1: 287, 2: 245, 3: 218, 4: 2, 5: 0}",2,1,1
62,10.0,2,250,1000,6,True,0.4691439088455186,5,5,[0.64426664 2.63866662] [3.90740468 3.75557138] [1.03672042 3.89291722] [3.81170504 0.70249071] [0.7056005  0.40347766],[0.08183881 0.32427674 0.19257401 0.24849945 0.15185434 0.00095665],[[ 1.56509699e+00 -1.05126399e-03]  [-1.05126399e-03  5.04992055e-01]] [[1.77239677 0.32676738]  [0.32676738 1.60021711]] [[1.11268048 0.13296195]  [0.13296195 1.80641928]] [[1.90826121 0.46035463]  [0.46035463 1.1222866 ]] [[1.2623164  0.41802555]  [0.41802555 0.9345448 ]],5,"{0: 71, 1: 322, 2: 187, 3: 251, 4: 169, 5: 0}",2,1,1
63,10.0,3,250,1000,6,True,0.5292170882848876,4,4,[3.66312061 4.11007484] [0.47307385 0.88995253] [3.50462726 1.16441297] [0.74797713 3.94597644],[0.26497025 0.16032704 0.34098303 0.23189117 0.00096092 0.00086758],[[1.90827112 0.68716583]  [0.68716583 1.41411917]] [[1.08480364 0.56604186]  [0.56604186 1.33144969]] [[2.10928837 0.63605337]  [0.63605337 1.71140452]] [[1.36082051 0.57896759]  [0.57896759 1.70518853]],4,"{0: 268, 1: 166, 2: 331, 3: 235, 4: 0, 5: 0}",2,1,1
64,10.0,4,250,1000,6,True,0.5666530958055446,4,4,[0.94234246 1.05799771] [4.07534075 4.07823175] [3.82638074 0.95925868] [0.90556589 3.88761187],[0.23548718 0.24294436 0.0010711  0.00106891 0.27423428 0.24519417],[[1.42757389 0.75230631]  [0.75230631 1.68716832]] [[1.3877569  0.53845428]  [0.53845428 1.58352168]] [[1.78733375 0.65671673]  [0.65671673 1.58799683]] [[1.35271716 0.62494847]  [0.62494847 1.70792307]],6,"{0: 242, 1: 239, 2: 0, 3: 0, 4: 271, 5: 248}",2,1,1
65,10.0,5,250,1000,6,True,0.5397325689649602,4,4,[4.22895153 3.85734158] [1.27081796 0.92535483] [4.22852262 0.85923776] [1.20120441 3.90495881],[0.24863274 0.29163377 0.00107247 0.17296619 0.00106456 0.28463028],[[1.10098631 0.25976142]  [0.25976142 1.74012689]] [[1.74499374 0.30567611]  [0.30567611 1.35317157]] [[0.94927168 0.23611795]  [0.23611795 1.22908467]] [[1.42638428 0.26637743]  [0.26637743 1.45197693]],6,"{0: 252, 1: 296, 2: 0, 3: 173, 4: 0, 5: 279}",2,1,1
66,10.0,6,250,1000,6,True,0.4974625697554532,4,4,[3.87475405 4.07038159] [3.79578689 1.07790601] [0.88163601 3.92342571] [0.80351086 0.96381093],[0.27959795 0.27425915 0.22192968 0.22238622 0.00096012 0.00086687],[[1.90488339 0.35505027]  [0.35505027 1.44804914]] [[1.94785578 0.3715861 ]  [0.3715861  1.36844324]] [[1.36340274 0.27043329]  [0.27043329 1.3479821 ]] [[1.79468837 0.44216813]  [0.44216813 1.47063168]],4,"{0: 277, 1: 272, 2: 226, 3: 225, 4: 0, 5: 0}",2,1,1
67,10.0,7,250,1000,6,True,0.6139428139977076,4,4,[4.26152209 3.97240719] [1.26720456 3.90297002] [1.14383775 0.92598852] [4.12185537 0.97888414],[0.00107406 0.24353657 0.2584268  0.2390759  0.25692586 0.0009608 ],[[1.39738858 0.44210857]  [0.44210857 1.32733457]] [[1.38037015 0.34885472]  [0.34885472 1.28734277]] [[1.304916   0.38238194]  [0.38238194 1.29582867]] [[1.37463024 0.39580687]  [0.39580687 1.34364677]],5,"{0: 0, 1: 241, 2: 259, 3: 244, 4: 256, 5: 0}",2,1,1
68,10.0,8,250,1000,6,True,0.4969930029708929,5,5,[1.00566976 4.19119733] [3.83161411 1.11256824] [3.98107866 4.17647361] [0.83525427 0.6790517 ] [0.87810584 2.09857751],[0.2193519  0.28219824 0.24292624 0.16650865 0.0880644  0.00095057],[[1.22200438 0.24816959]  [0.24816959 1.33874985]] [[1.62899858 0.52618102]  [0.52618102 1.74941903]] [[1.48090688 0.39559653]  [0.39559653 1.61516992]] [[1.33594437 0.59966992]  [0.59966992 1.49390339]] [[1.68951713 0.17911266]  [0.17911266 0.44820478]],5,"{0: 216, 1: 294, 2: 233, 3: 155, 4: 102, 5: 0}",3,1,2
69,10.0,9,250,1000,6,True,0.5045181765935093,5,4,[1.26454724 4.29746874] [4.07982625 1.53980513] [4.17394446 4.50795583] [1.04391529 1.19473161] [5.96209781 2.82155733],[0.2704473  0.3055697  0.14814814 0.27130568 0.0009838  0.00354539],[[1.78805485 0.50095719]  [0.50095719 1.45199068]] [[1.21829846 0.46371865]  [0.46371865 2.21182631]] [[1.19157811 0.56863441]  [0.56863441 1.12647233]] [[1.27371411 0.3532114 ]  [0.3532114  1.64156584]] [[6.81646269 0.50419546]  [0.50419546 2.17355264]],5,"{0: 270, 1: 298, 2: 155, 3: 275, 4: 0, 5: 2}",2,1,1
70,10.0,10,250,1000,6,True,0.4510497409042608,5,5,[3.73443075 0.94102475] [0.83432158 1.33573888] [4.47037695 3.57202639] [3.53563867 4.27077481] [0.94580353 4.16378952],[0.00107534 0.27072262 0.19804368 0.17564194 0.16125221 0.19326421],[[1.96212484 0.33362714]  [0.33362714 1.18672112]] [[1.0467485  0.37342723]  [0.37342723 1.65944409]] [[1.90841386 0.77637536]  [0.77637536 1.98920041]] [[1.03393447 0.30105751]  [0.30105751 1.44896269]] [[0.99684512 0.20868455]  [0.20868455 1.37447188]],6,"{0: 0, 1: 282, 2: 210, 3: 136, 4: 175, 5: 197}",4,3,1
71,10.0,11,250,1000,6,True,0.504736386671722,4,4,[4.20088322 3.44440314] [0.94290845 0.69050498] [1.21294151 3.72923164] [3.89427713 0.55797233],[0.29082753 0.22636403 0.32547927 0.00106259 0.15531437 0.0009522 ],[[1.2249612  0.3134867 ]  [0.3134867  2.33050054]] [[1.32268082 0.16618729]  [0.16618729 1.03378751]] [[1.7367202  0.21702653]  [0.21702653 1.47763201]] [[1.01371458 0.11125499]  [0.11125499 0.99503979]],5,"{0: 289, 1: 241, 2: 309, 3: 0, 4: 161, 5: 0}",2,1,1
72,10.0,12,250,1000,6,True,0.5158015482925028,4,4,[3.65019587 3.78722105] [3.43428628 0.79471966] [0.71525221 3.99964926] [0.53084566 1.00504037],[0.35996909 0.00107282 0.27383958 0.19291783 0.00106156 0.17113913],[[1.89271319 0.19456798]  [0.19456798 1.9028582 ]] [[1.957643   0.15353569]  [0.15353569 1.083025  ]] [[1.04080614 0.10045593]  [0.10045593 1.11387906]] [[0.94333463 0.17822759]  [0.17822759 1.1801007 ]],6,"{0: 345, 1: 0, 2: 269, 3: 200, 4: 0, 5: 186}",2,1,1
73,10.0,13,250,1000,6,True,0.4240642542942957,4,4,[1.18645404 3.65502483] [3.70189758 1.15373015] [4.34577693 4.39460008] [0.83644128 0.78078287],[0.35539083 0.35556932 0.1336898  0.15352949 0.00095672 0.00086384],[[1.98530509 0.80171105]  [0.80171105 2.18113248]] [[2.0336706  0.85166509]  [0.85166509 2.37222334]] [[1.07329625 0.57373646]  [0.57373646 1.08301968]] [[1.57597034 0.94330876]  [0.94330876 1.21076618]],4,"{0: 356, 1: 352, 2: 139, 3: 153, 4: 0, 5: 0}",2,1,1
74,10.0,14,250,1000,6,True,0.5099817986073342,4,4,[3.54927899 1.26667029] [0.5733499  1.18674106] [1.01244231 4.10942271] [3.97604775 4.2164939 ],[0.36271407 0.22195384 0.23064988 0.00106368 0.18266458 0.00095396],[[1.72691819 0.46581196]  [0.46581196 1.9560167 ]] [[0.96560283 0.50808264]  [0.50808264 2.00052817]] [[1.3576275  0.34864115]  [0.34864115 1.38008875]] [[1.10881993 0.37188007]  [0.37188007 1.30117436]],5,"{0: 359, 1: 218, 2: 238, 3: 0, 4: 185, 5: 0}",2,1,1
75,10.0,15,250,1000,6,True,0.5415324319862828,4,4,[0.87907858 3.79720346] [0.73396085 0.79422794] [3.69894899 0.9540766 ] [3.81366867 3.92456512],[0.26270144 0.0010729  0.1948977  0.26357676 0.27679063 0.00096056],[[1.56896321 0.32756692]  [0.32756692 1.43326055]] [[1.57391409 0.29819447]  [0.29819447 1.03001053]] [[1.94746364 0.33445984]  [0.33445984 1.14694483]] [[1.81717294 0.3669116 ]  [0.3669116  1.39485897]],5,"{0: 263, 1: 0, 2: 200, 3: 263, 4: 274, 5: 0}",2,1,1
76,10.0,16,250,1000,6,True,0.574755971836736,4,4,[3.90277597 1.0706116 ] [0.85609906 1.02833201] [4.10067336 3.94986166] [1.23731232 4.08753484],[0.27262816 0.00107348 0.21874363 0.24230449 0.00106668 0.26418356],[[1.69439047 0.48769743]  [0.48769743 1.44882346]] [[1.23232191 0.42498114]  [0.42498114 1.51705328]] [[1.55324576 0.64078149]  [0.64078149 1.59821318]] [[1.7353106  0.48329343]  [0.48329343 1.45398464]],6,"{0: 269, 1: 0, 2: 224, 3: 246, 4: 0, 5: 261}",2,1,1
77,10.0,17,250,1000,6,True,0.5065644106662099,6,5,[4.22226348 1.3066342 ] [1.16879409 3.77300046] [-0.62630863  1.36982593] [1.11179439 1.08653266] [2.01723911 0.36805511] [4.32340208 4.31319369],[0.25593421 0.34317768 0.00442063 0.14117111 0.06276976 0.19252663],[[1.26764047 0.39347537]  [0.39347537 1.63004307]] [[1.44946628 0.59456597]  [0.59456597 2.10715895]] [[7.41962217 2.63904641]  [2.63904641 2.95635809]] [[1.32439145 0.99943603]  [0.99943603 1.28864423]] [[0.68484579 0.22358247]  [0.22358247 1.29725762]] [[0.97917007 0.4308679 ]  [0.4308679  1.42189192]],6,"{0: 257, 1: 333, 2: 2, 3: 168, 4: 42, 5: 198}",6,1,5
78,10.0,18,250,1000,6,True,0.3803182756475869,6,6,[0.86632427 3.29232578] [1.26689194 0.55760372] [3.873769   2.64564936] [3.74309072 4.66776434] [-0.35760296  2.57051802] [4.08070324 0.68557094],[0.21936419 0.20567365 0.15992259 0.20628888 0.04128267 0.16746803],[[ 0.67996302 -0.0447795 ]  [-0.0447795   2.31508538]] [[2.19141154 0.55185   ]  [0.55185    1.46415547]] [[ 1.78209518 -0.05143364]  [-0.05143364  0.62981729]] [[1.985276   0.1312288 ]  [0.1312288  0.84003103]] [[ 2.52554608 -0.11954808]  [-0.11954808  1.60638684]] [[1.22493749 0.20883814]  [0.20883814 1.30566107]],6,"{0: 244, 1: 201, 2: 176, 3: 195, 4: 19, 5: 165}",4,2,1
79,10.0,19,250,1000,6,True,0.5516586796403407,4,4,[1.23797024 3.92807821] [3.95995188 1.2569785 ] [4.2435483  4.24957171] [0.96907425 0.94549113],[0.00107607 0.30117555 0.28107393 0.19719372 0.00106468 0.21841606],[[1.66726777 0.43427965]  [0.43427965 1.51625081]] [[1.53414176 0.45209542]  [0.45209542 1.55877498]] [[1.2927436  0.43870146]  [0.43870146 1.29197178]] [[1.43810695 0.47352944]  [0.47352944 1.34027131]],6,"{0: 0, 1: 295, 2: 283, 3: 199, 4: 0, 5: 223}",2,1,1
