Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
base,1.6e-07,1,300,3000,6,True,0.49599933705184485,0.9867415760112648,3,3,[ 1.18385254 -0.00719488] [-0.15218752  3.85157275] [1.19829607 4.9989289 ],[4.96551415e-01 1.37706605e-02 4.89677924e-01 1.32776931e-10 2.12443062e-17 3.39908850e-24],[[ 0.7215601  -0.03318732]  [-0.03318732  0.6673917 ]] [[ 0.72397105 -0.49974467]  [-0.49974467  4.37641195]] [[ 0.69740939 -0.05192941]  [-0.05192941  0.65953457]],3,"{0: 597, 1: 8, 2: 595, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,1,300,3000,6,True,0.49437655745117315,0.996666664447536,2,2,[ 2.9786029  -0.00534702] [1.16817292 4.98704892],[4.98288697e-01 5.01711302e-01 1.33001572e-10 2.12802489e-17 3.40483938e-24 5.44774221e-31],[[ 0.72593059 -0.04417157]  [-0.04417157  0.66789017]] [[ 0.74947584 -0.05051357]  [-0.05051357  0.71516265]],2,"{0: 597, 1: 603, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
context,1.6e-07,1,300,3000,6,True,0.6312468829926053,0.7390569607164281,4,4,[-1.64138708e-03  3.81898896e+00] [ 0.95194325 -0.01217908] [3.23704809 0.00566801] [1.19831489 5.00019001],[0.00089281 0.01418465 0.2503153  0.00089009 0.24552573 0.48819142],[[ 1.0244978  -0.67103172]  [-0.67103172  4.25022444]] [[ 0.67814982 -0.01953754]  [-0.01953754  0.68626764]] [[ 0.66440394 -0.08004422]  [-0.08004422  0.68769123]] [[ 0.70165308 -0.05774969]  [-0.05774969  0.65947368]],4,"{0: 0, 1: 8, 2: 304, 3: 0, 4: 293, 5: 595}",1,0,1
base,1.6e-07,2,300,3000,6,True,0.42157506082589463,0.741130289731786,3,3,[ 1.23810592 -0.10393851] [0.644305   4.93642685] [1.66883163 4.84131771],[4.95513103e-01 2.18083445e-01 2.86403451e-01 1.32617867e-10 2.12188560e-17 3.39501646e-24],[[0.73517843 0.0462374 ]  [0.0462374  0.72336291]] [[0.38770214 0.09488066]  [0.09488066 1.20420695]] [[0.53278587 0.04934415]  [0.04934415 0.5790113 ]],3,"{0: 594, 1: 274, 2: 332, 3: 0, 4: 0, 5: 0}",1,1,0
contextless,1.6e-07,2,300,3000,6,True,0.4314125650499444,0.7691191776685965,3,3,[ 3.03355552 -0.09123577] [0.81801952 4.93294636] [1.91576608 4.84082253],[0.4982593  0.31203098 0.00089941 0.00089504 0.0008907  0.18702457],[[0.73560884 0.03129229]  [0.03129229 0.74867319]] [[0.46480333 0.05677047]  [0.05677047 0.95171978]] [[0.43591486 0.02016612]  [0.02016612 0.58011068]],3,"{0: 598, 1: 388, 2: 0, 3: 0, 4: 0, 5: 214}",1,1,0
context,1.6e-07,2,300,3000,6,True,0.40754666443178633,0.6837216201141586,4,4,[ 2.36297262 -0.11166041] [0.72290624 4.9462684 ] [0.68305116 0.04976141] [1.79105292 4.83364906],[0.43100665 0.26401511 0.00089366 0.000891   0.06666473 0.23652886],[[1.33414532 0.04969969]  [0.04969969 0.69744433]] [[0.42001194 0.08010884]  [0.08010884 1.0556968 ]] [[0.41707505 0.1825554 ]  [0.1825554  1.17285546]] [[0.47999465 0.04002504]  [0.04002504 0.56931847]],4,"{0: 556, 1: 334, 2: 0, 3: 0, 4: 40, 5: 270}",2,1,1
base,1.6e-07,3,300,3000,6,True,0.48940851649716155,0.9933388889506688,2,2,[1.25035411 0.12336544] [1.25832927 5.11997009],[5.02701288e-01 8.99427216e-04 4.96399284e-01 1.32777272e-10 2.12443607e-17 3.39909721e-24],[[0.7766711  0.01556035]  [0.01556035 0.74192706]] [[0.75265999 0.00639733]  [0.00639733 0.68889461]],2,"{0: 602, 1: 0, 2: 598, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,3,300,3000,6,True,0.48282253605804526,0.9933388889506688,2,2,[1.2575138  5.11392463] [3.04708675 0.11756133],[8.97433228e-04 8.96612975e-04 4.98387995e-01 4.99817959e-01 1.32779688e-10 2.12447470e-17],[[0.74980165 0.00395473]  [0.00395473 0.70301532]] [[0.77737287 0.00273754]  [0.00273754 0.72940984]],2,"{0: 0, 1: 0, 2: 598, 3: 602, 4: 0, 5: 0}",0,0,0
context,1.6e-07,3,300,3000,6,True,0.48610187345020855,0.9867000190428485,2,2,[2.14771931 0.12253836] [1.25713724 5.11885705],[5.02541103e-01 4.97458897e-01 1.32999688e-10 2.12799475e-17 3.40479116e-24 5.44766505e-31],[[1.58165161 0.00685816]  [0.00685816 0.74017186]] [[0.75080018 0.00704113]  [0.00704113 0.69158918]],2,"{0: 604, 1: 596, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,4,300,3000,6,True,0.35526633110801537,0.5541069348373414,6,6,[-0.24827461  0.04388758] [2.33158517 4.85817473] [ 2.13939676 -0.0780139 ] [0.92628017 0.08011811] [1.03242247 5.07768694] [-0.5363959   4.08957341],[0.03543027 0.11370562 0.17422541 0.29147933 0.36632314 0.01883622],[[0.55772711 0.21869965]  [0.21869965 1.82379254]] [[0.28250875 0.14516804]  [0.14516804 1.00477613]] [[0.33321143 0.06128975]  [0.06128975 0.89410921]] [[ 0.28826693 -0.00354976]  [-0.00354976  0.57690916]] [[ 0.41413928 -0.04502454]  [-0.04502454  0.60313859]] [[ 0.52444775 -0.48651048]  [-0.48651048  1.68038316]],6,"{0: 26, 1: 130, 2: 198, 3: 376, 4: 448, 5: 22}",6,3,3
contextless,1.6e-07,4,300,3000,6,True,0.37138307886047334,0.59383492952093,6,6,[ 1.35637522 -0.32329416] [1.1267713 5.0403793] [2.59479347 0.07411048] [2.46486086 4.99298016] [3.69056352 0.00605824] [-0.33940049  3.8984408 ],[0.02808292 0.40732268 0.22747689 0.0745301  0.24385632 0.0187311 ],[[ 0.43927582 -0.05878408]  [-0.05878408  1.6766799 ]] [[ 0.51436119 -0.09000262]  [-0.09000262  0.61884508]] [[ 0.2456365  -0.07330584]  [-0.07330584  0.59985333]] [[0.2587913  0.08146685]  [0.08146685 1.13851905]] [[ 0.46641259 -0.01798379]  [-0.01798379  0.80085769]] [[ 0.88797745 -0.70051103]  [-0.70051103  1.37806657]],6,"{0: 26, 1: 506, 2: 304, 3: 74, 4: 270, 5: 20}",4,1,3
context,1.6e-07,4,300,3000,6,True,0.5115716993372077,0.7888959709160861,3,3,[2.67000536 0.00692614] [0.874418   0.05898318] [1.2652205  5.00778018],[3.60394881e-01 8.91697543e-04 1.42099081e-01 4.96614340e-01 1.32654264e-10 2.12246792e-17],[[ 1.10612346 -0.00979759]  [-0.00979759  0.72540153]] [[0.62737974 0.02223843]  [0.02223843 0.85177334]] [[ 0.81587244 -0.0076166 ]  [-0.0076166   0.70621707]],3,"{0: 429, 1: 0, 2: 173, 3: 598, 4: 0, 5: 0}",1,0,1
base,1.6e-07,5,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.21584101 4.97687821] [ 1.21775614 -0.01355686],[8.95961328e-04 4.98918661e-01 5.00185378e-01 1.32890333e-10 2.12624504e-17 3.40199157e-24],[[ 0.70132999 -0.02242314]  [-0.02242314  0.74048615]] [[ 0.69812984 -0.02255314]  [-0.02255314  0.76366071]],2,"{0: 0, 1: 598, 2: 602, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,5,300,3000,6,True,0.4960389968041097,1.0,2,2,[ 3.01657054 -0.01259191] [1.21821638 4.9788243 ],[5.01702135e-01 8.87800490e-04 8.84917852e-04 4.96525147e-01 1.32556618e-10 2.12090557e-17],[[ 0.70056518 -0.02959082]  [-0.02959082  0.76439414]] [[ 0.70536094 -0.0324166 ]  [-0.0324166   0.735162  ]],2,"{0: 602, 1: 0, 2: 0, 3: 598, 4: 0, 5: 0}",0,0,0
context,1.6e-07,5,300,3000,6,True,0.5690342188489783,0.750360694974291,3,3,[2.89624737e+00 2.50145972e-03] [1.21715079 4.97689412] [ 1.11188232 -0.02533311],[2.82872984e-01 4.98779842e-01 8.85150096e-04 2.17462024e-01 1.32059730e-10 2.11295536e-17],[[ 0.77732069 -0.03598221]  [-0.03598221  0.77102396]] [[ 0.70346812 -0.02769223]  [-0.02769223  0.74012318]] [[ 0.65495043 -0.04773061]  [-0.04773061  0.79570531]],3,"{0: 342, 1: 599, 2: 0, 3: 259, 4: 0, 5: 0}",1,0,1
base,1.6e-07,6,300,3000,6,True,0.4927099932746571,0.9933388891944935,2,2,[1.24849834 0.00944879] [1.23672444 5.00187071],[5.04080908e-01 8.91519803e-04 4.95027572e-01 1.32776040e-10 2.12441636e-17 3.39906568e-24],[[0.76340424 0.08980236]  [0.08980236 0.81616439]] [[0.75347655 0.09104471]  [0.09104471 0.73442748]],2,"{0: 604, 1: 0, 2: 596, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,6,300,3000,6,True,0.4927099932746571,0.9933388891944935,2,2,[3.04212844 0.00678305] [1.23730044 5.00053777],[8.85929760e-04 8.85135304e-04 5.02816276e-01 4.95412659e-01 1.32777732e-10 2.12444339e-17],[[0.75679306 0.06993853]  [0.06993853 0.80847177]] [[0.7538674  0.08547408]  [0.08547408 0.73569548]],2,"{0: 0, 1: 0, 2: 604, 3: 596, 4: 0, 5: 0}",0,0,0
context,1.6e-07,6,300,3000,6,True,0.5588664969128244,0.753089218979292,3,3,[ 1.07531326 -0.03798745] [1.23656768 5.00158657] [2.84796834 0.04608893],[0.00088775 0.00088735 0.00088615 0.19980735 0.49499499 0.30253641],[[0.63647348 0.05381576]  [0.05381576 0.81783656]] [[0.75312235 0.0893889 ]  [0.0893889  0.73472802]] [[0.92549066 0.03069224]  [0.03069224 0.83989368]],3,"{0: 0, 1: 0, 2: 0, 3: 240, 4: 596, 5: 364}",1,0,1
base,1.6e-07,7,300,3000,6,True,0.49937369519832986,1.0,2,2,[1.19165088 4.82255974] [ 1.19308367 -0.16812994],[5.00173821e-01 4.99826179e-01 1.33000740e-10 2.12801160e-17 3.40481810e-24 5.44770817e-31],[[0.62327365 0.0169545 ]  [0.0169545  0.66051223]] [[0.62457896 0.01744003]  [0.01744003 0.66591607]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,7,300,3000,6,True,0.49937369519832986,1.0,2,2,[1.1922772 4.8247605] [ 2.99019452 -0.16651313],[4.99731669e-01 8.90177119e-04 8.89834344e-04 4.98488319e-01 1.32559227e-10 2.12094732e-17],[[0.62548834 0.01149291]  [0.01149291 0.65519373]] [[0.62628029 0.00603318]  [0.00603318 0.66916135]],2,"{0: 600, 1: 0, 2: 0, 3: 600, 4: 0, 5: 0}",0,0,0
context,1.6e-07,7,300,3000,6,True,0.5725767878589189,0.7527678754975384,3,3,[1.19159546 4.82412117] [ 1.30556736 -0.18416534] [ 3.10380131 -0.1350993 ],[0.49979985 0.28197034 0.00088791 0.00088424 0.00088192 0.21557575],[[0.62407124 0.01504405]  [0.01504405 0.65726454]] [[0.70770497 0.00463766]  [0.00463766 0.66507944]] [[ 0.54370281 -0.0343598 ]  [-0.0343598   0.71721479]],3,"{0: 600, 1: 333, 2: 0, 3: 0, 4: 0, 5: 267}",1,0,1
base,1.6e-07,8,300,3000,6,True,0.4286013173739332,0.7529542187548949,3,3,[1.217477   0.04216581] [0.92171057 5.04188121] [1.55331054 5.01164783],[8.92718899e-04 4.99668636e-01 2.65442862e-01 2.33995783e-01 1.32419979e-10 2.11871936e-17],[[ 0.77861941 -0.04760357]  [-0.04760357  0.7577991 ]] [[ 0.68022143 -0.01703905]  [-0.01703905  0.8367732 ]] [[ 0.67508579 -0.07141939]  [-0.07141939  0.72360464]],3,"{0: 0, 1: 600, 2: 334, 3: 266, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,8,300,3000,6,True,0.49937369519832986,1.0,2,2,[1.21976514 5.03342415] [3.01635983 0.04229092],[8.87511798e-04 8.87617740e-04 4.99656856e-01 4.98568014e-01 1.32779139e-10 2.12446591e-17],[[ 0.78150893 -0.05554351]  [-0.05554351  0.75909378]] [[ 0.7814794  -0.05438012]  [-0.05438012  0.75625408]],2,"{0: 0, 1: 0, 2: 600, 3: 600, 4: 0, 5: 0}",0,0,0
context,1.6e-07,8,300,3000,6,True,0.5613572331454018,0.7503648766620348,3,3,[1.21913743 5.03283224] [2.96080731 0.07224269] [1.17474302 0.01853426],[8.88987557e-04 8.88186460e-04 4.99674568e-01 2.63186333e-01 2.35361925e-01 1.32312603e-10],[[ 0.77997997 -0.05184955]  [-0.05184955  0.76177081]] [[ 0.82415847 -0.09901753]  [-0.09901753  0.74410917]] [[ 0.75765336 -0.0571838 ]  [-0.0571838   0.81406406]],3,"{0: 0, 1: 0, 2: 600, 3: 315, 4: 285, 5: 0}",1,0,1
base,1.6e-07,9,300,3000,6,True,0.4148353827914127,0.7255105674824992,4,4,[1.02926914 5.11354785] [ 2.14327088 -0.02362276] [0.98387231 0.10024042] [2.20434148 4.76352165],[4.14535099e-01 9.23401262e-02 4.08401228e-01 8.47235465e-02 1.31520630e-10 2.10432977e-17],[[ 0.58559593 -0.06923257]  [-0.06923257  0.7261838 ]] [[ 0.17403857 -0.16154829]  [-0.16154829  1.10304334]] [[ 0.60802494 -0.07879883]  [-0.07879883  0.83412606]] [[ 0.18438863 -0.05886395]  [-0.05886395  1.47098426]],4,"{0: 516, 1: 110, 2: 492, 3: 82, 4: 0, 5: 0}",2,1,1
contextless,1.6e-07,9,300,3000,6,True,0.4034506985530957,0.6787584940555424,4,4,[1.0639283  5.10332697] [ 3.16735766 -0.05971567] [2.85518717 0.19681632] [2.22030088 4.69069709],[4.31863343e-01 2.50067722e-01 2.48993787e-01 6.90751479e-02 1.31106569e-10 2.09770480e-17],[[ 0.63284102 -0.05426176]  [-0.05426176  0.76264329]] [[ 0.63016468 -0.29188409]  [-0.29188409  0.85074332]] [[0.77579736 0.14096031]  [0.14096031 0.84764511]] [[ 0.16725189 -0.10836308]  [-0.10836308  1.50113545]],4,"{0: 554, 1: 288, 2: 312, 3: 46, 4: 0, 5: 0}",1,1,0
context,1.6e-07,9,300,3000,6,True,0.5242427992984039,0.6169251287074746,4,4,[1.02025376 5.10276713] [3.10270612 0.09153629] [1.34818615 0.07160688] [2.18906325 4.85677209],[4.10315594e-01 2.14967062e-01 2.86637835e-01 8.80795079e-02 1.31501297e-10 2.10402044e-17],[[ 0.58252496 -0.08501736]  [-0.08501736  0.73123455]] [[ 0.67163263 -0.13164439]  [-0.13164439  0.9081557 ]] [[ 0.90949925 -0.12445619]  [-0.12445619  0.87546545]] [[ 0.18078302 -0.06501235]  [-0.06501235  1.37540415]],4,"{0: 504, 1: 262, 2: 341, 3: 93, 4: 0, 5: 0}",2,1,1
base,1.6e-07,10,300,3000,6,True,0.49937369519832986,1.0,2,2,[ 1.116226   -0.02814427] [1.11653752 4.96079713],[5.00112515e-01 4.99887484e-01 1.33000768e-10 2.12801203e-17 3.40481880e-24 5.44770928e-31],[[ 0.68629241 -0.00659931]  [-0.00659931  0.81171547]] [[ 0.68573654 -0.00619517]  [-0.00619517  0.81830171]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,10,300,3000,6,True,0.49937369519832986,1.0,2,2,[ 2.91491004 -0.02890626] [1.11874866 4.96210101],[5.00166973e-01 4.99833027e-01 1.33000743e-10 2.12801164e-17 3.40481818e-24 5.44770829e-31],[[ 0.68935892 -0.0137266 ]  [-0.0137266   0.80707765]] [[ 0.68956295 -0.01594148]  [-0.01594148  0.81264773]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
context,1.6e-07,10,300,3000,6,True,0.4977084223549946,0.9966666643557163,2,2,[ 2.0164944  -0.03066408] [1.11763333 4.95877424],[4.99656935e-01 5.00343064e-01 1.33000969e-10 2.12801525e-17 3.40482395e-24 5.44771753e-31],[[ 1.49542572 -0.00859922]  [-0.00859922  0.80535525]] [[ 0.68750671 -0.01100532]  [-0.01100532  0.82218935]],2,"{0: 599, 1: 601, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,11,300,3000,6,True,0.468086356988426,0.8841483531773214,4,4,[ 1.39543819 -0.05788611] [1.70670146 4.95882292] [1.1645749  4.96700782] [-0.08125409  0.44894322],[4.59888485e-01 1.15600353e-01 8.84489261e-04 3.87114840e-01 3.65118322e-02 1.29559245e-10],[[0.52332649 0.01157539]  [0.01157539 0.71033129]] [[0.19318257 0.12229006]  [0.12229006 1.42220014]] [[ 0.72571395 -0.07232616]  [-0.07232616  0.64202612]] [[0.35075855 0.16089274]  [0.16089274 0.79357982]],4,"{0: 562, 1: 40, 2: 0, 3: 564, 4: 34, 5: 0}",1,0,1
contextless,1.6e-07,11,300,3000,6,True,0.46565197895968335,0.8755061742717548,4,4,[ 2.95635576 -0.12009982] [1.16039592 4.96114704] [1.73703647 4.97444584] [3.64704491 0.41893087],[4.05599856e-01 3.89806058e-01 1.14269983e-01 9.03241026e-02 1.31293740e-10 2.10069953e-17],[[ 0.65193705 -0.11615331]  [-0.11615331  0.65998831]] [[ 0.71317813 -0.07553811]  [-0.07553811  0.63792705]] [[0.22086196 0.06221911]  [0.06221911 1.44995588]] [[ 0.34576614 -0.00538551]  [-0.00538551  0.81213798]],4,"{0: 554, 1: 566, 2: 38, 3: 42, 4: 0, 5: 0}",0,0,0
context,1.6e-07,11,300,3000,6,True,0.5544044375032529,0.6990442466593795,4,4,[ 3.27315290e+00 -2.88405378e-03] [1.71760603 4.95010706] [1.16171158 4.96758555] [ 1.47409127 -0.03238504],[1.96221304e-01 1.16467757e-01 3.87820120e-01 8.85728493e-04 2.98605090e-01 1.32189110e-10],[[ 0.51034375 -0.03084769]  [-0.03084769  0.80900586]] [[0.20856309 0.09420475]  [0.09420475 1.45355304]] [[ 0.72052674 -0.07189028]  [-0.07189028  0.63676092]] [[ 0.82474946 -0.05661497]  [-0.05661497  0.68231426]],4,"{0: 242, 1: 40, 2: 564, 3: 0, 4: 354, 5: 0}",1,0,1
base,1.6e-07,12,300,3000,6,True,0.4834770131379304,0.9386234489224133,4,4,[-0.00544541  4.93794398] [ 1.31444813 -0.00256   ] [1.3526329  5.02183665] [-0.25067646  1.20766361],[3.46405176e-02 4.83308795e-01 4.65328800e-01 1.67218878e-02 1.26591054e-10 2.02545656e-17],[[ 0.53248429 -0.39908692]  [-0.39908692  1.64687348]] [[0.54625938 0.0496686 ]  [0.0496686  0.81225604]] [[0.50812981 0.020862  ]  [0.020862   0.81409594]] [[0.51521403 0.30886698]  [0.30886698 1.21114837]],4,"{0: 20, 1: 582, 2: 580, 3: 18, 4: 0, 5: 0}",1,1,0
contextless,1.6e-07,12,300,3000,6,True,0.49604634322521524,0.9868333185925544,3,3,[3.09897294 0.01008395] [1.26178511 5.0233749 ] [1.37516234 1.20532389],[8.93578015e-04 4.87987047e-01 4.98545021e-01 1.25743539e-02 1.24660640e-10 1.99456996e-17],[[0.56700849 0.02442994]  [0.02442994 0.81938442]] [[ 0.63253416 -0.01462419]  [-0.01462419  0.84454787]] [[ 0.44000858 -0.10195984]  [-0.10195984  1.69174022]],3,"{0: 0, 1: 592, 2: 600, 3: 8, 4: 0, 5: 0}",0,0,0
context,1.6e-07,12,300,3000,6,True,0.5929593434128063,0.7313407959817375,4,4,[0.04969817 4.75704363] [1.33188502 5.02721261] [3.10852734 0.04991061] [1.32533194 0.01871051],[0.0279944  0.00088886 0.47336911 0.23324289 0.00088343 0.26362132],[[ 0.72435597 -0.66668327]  [-0.66668327  1.73286042]] [[0.53379054 0.0094445 ]  [0.0094445  0.82424766]] [[ 0.57923056 -0.01043132]  [-0.01043132  0.80612432]] [[ 0.7041502  -0.03283715]  [-0.03283715  0.90090132]],4,"{0: 12, 1: 0, 2: 588, 3: 279, 4: 0, 5: 321}",2,1,1
base,1.6e-07,13,300,3000,6,True,0.4610370624673581,0.8705450902516432,5,5,[1.30785152 5.06552014] [1.33109751 0.05889064] [2.06589802 2.80604243] [ 1.12681825 -0.43826627] [0.23227555 5.88246372],[0.46407959 0.41041438 0.03457617 0.0008769  0.07855346 0.0114995 ],[[0.80975741 0.09394188]  [0.09394188 0.56555229]] [[0.82551706 0.09787991]  [0.09787991 0.48915299]] [[ 0.45781916 -0.1366291 ]  [-0.1366291   1.02906265]] [[ 0.92206355 -0.91233223]  [-0.91233223  1.9612244 ]] [[ 0.4659561  -0.76442072]  [-0.76442072  3.76240808]],5,"{0: 568, 1: 550, 2: 30, 3: 0, 4: 44, 5: 8}",1,1,0
contextless,1.6e-07,13,300,3000,6,True,0.46106602008607467,0.8707674882513812,5,5,[1.33506336 5.06552757] [ 3.05863259 -0.78903619] [3.24262551 2.58161118] [3.13212453 0.086709  ] [0.88216896 4.32595792],[4.47060822e-01 7.25225248e-02 2.19809454e-02 4.10507920e-01 4.79277873e-02 1.30299921e-10],[[0.82752862 0.0985886 ]  [0.0985886  0.56816722]] [[ 0.75613928 -0.66190004]  [-0.66190004  1.35754274]] [[ 1.33822838 -0.85161047]  [-0.85161047  1.34406721]] [[0.83324552 0.09268396]  [0.09268396 0.49415808]] [[ 0.61899314 -1.16386276]  [-1.16386276  3.53123975]],5,"{0: 572, 1: 40, 2: 18, 3: 546, 4: 24, 5: 0}",0,0,0
context,1.6e-07,13,300,3000,6,True,0.4603090517204007,0.8660513846869361,6,5,[0.71107284 4.4877522 ] [ 3.09340201 -0.22402793] [2.05952708 0.03814157] [0.31451791 2.44940534] [2.0729936  3.74019858] [1.37235272 5.08385397],[0.05993715 0.08356901 0.40816673 0.00570079 0.02432532 0.418301  ],[[ 0.50174651 -0.75991248]  [-0.75991248  1.96442352]] [[1.15333931 0.07638022]  [0.07638022 2.13792507]] [[1.56508589 0.07329874]  [0.07329874 0.5122355 ]] [[ 1.24756564 -0.28037744]  [-0.28037744  1.92285028]] [[ 1.00490471 -1.7152215 ]  [-1.7152215   5.04544261]] [[0.81333618 0.09971562]  [0.09971562 0.54047327]],6,"{0: 31, 1: 37, 2: 557, 3: 4, 4: 13, 5: 558}",2,1,1
base,1.6e-07,14,300,3000,6,True,0.271840753141099,0.3789104822068858,6,6,[0.20703482 0.19764299] [1.07456043 4.87506373] [0.183281   4.90367585] [ 1.15575538 -0.10308596] [2.10812259 0.06298486] [1.80771568 5.07270744],[0.0978243  0.14861202 0.08756023 0.23499091 0.17012928 0.26088326],[[0.20325331 0.02576665]  [0.02576665 0.91470118]] [[ 0.09288632 -0.07849173]  [-0.07849173  0.86653115]] [[ 0.19373768 -0.14697086]  [-0.14697086  0.6943272 ]] [[ 0.14750838 -0.03407553]  [-0.03407553  0.81477123]] [[ 0.33025143 -0.19669012]  [-0.19669012  0.80553034]] [[ 0.46162828 -0.17709913]  [-0.17709913  0.76367614]],6,"{0: 108, 1: 214, 2: 108, 3: 310, 4: 186, 5: 274}",5,2,3
contextless,1.6e-07,14,300,3000,6,True,0.49937369519832986,0.9933388889506688,2,2,[1.30478727 4.98846306] [ 3.09431575e+00 -2.20424277e-03],[0.00089494 0.00089413 0.49790422 0.00089363 0.00089008 0.498523  ],[[ 0.67571253 -0.10279847]  [-0.10279847  0.75952882]] [[ 0.68419915 -0.10040143]  [-0.10040143  0.79380375]],2,"{0: 0, 1: 0, 2: 600, 3: 0, 4: 0, 5: 600}",0,0,0
context,1.6e-07,14,300,3000,6,True,0.5607612049012104,0.7529472344345146,3,3,[1.12529318 0.00418124] [1.30405239 4.99044075] [2.94091772 0.00586344],[2.07292102e-01 4.97808554e-01 2.94899344e-01 1.32708208e-10 2.12333105e-17 3.39732918e-24],[[ 0.54745425 -0.06697009]  [-0.06697009  0.86046589]] [[ 0.67612414 -0.09857218]  [-0.09857218  0.75608128]] [[ 0.79304376 -0.12948103]  [-0.12948103  0.79312309]],3,"{0: 249, 1: 599, 2: 352, 3: 0, 4: 0, 5: 0}",1,0,1
